N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,8,4,vit_huge,fc37/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc38/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc39/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc40/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc41/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc42/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc43/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc44/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc45/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc46/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc47/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc48/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc49/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc50/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc51/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc52/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc53/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc54/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc55/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc56/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc57/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc58/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc59/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc60/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc61/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc62/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc63/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc64/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc65/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc66/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc67/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc68/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc69/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc70/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc71/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc72/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc73/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc74/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc75/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc76/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc77/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc78/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc79/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc80/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc81/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc82/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc83/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc84/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc85/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc86/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc87/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc88/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
